Lon,Lat,Size,Intensity
-88.12,28.35,69.8,20.0
-87.23,28.5,94.9,33.4
-86.29,28.09,89.0,33.5
-87.24,27.31,79.5,22.9
-87.69,26.35,67.5,18.4
-88.42,29.87,75.9,25.4
-86.42,29.7,63.5,35.7
-86.1,26.32,59.3,12.7
-87.6,28.98,55.8,18.3
-87.33,27.19,64.4,17.6
-87.22,29.05,79.6,25.2
-87.76,29.11,87.9,34.1
-88.72,29.01,47.8,36.0
-87.5,27.73,25.2,36.4
-86.85,27.36,75.1,19.8
-87.56,28.68,48.5,35.8
-86.24,28.05,66.1,19.9
-89.64,27.27,70.8,20.9
-87.08,28.15,85.9,33.7
-87.14,27.99,50.1,23.6
-86.21,28.22,73.8,21.2
-87.39,27.73,101.0,32.7
-83.4,30.35,5.0,38.9
-87.12,29.14,87.7,34.2
-87.54,26.34,90.3,32.4
-88.27,28.52,83.9,24.5
-87.66,29.86,61.3,35.9
-85.44,29.62,85.5,34.5
-87.36,26.04,96.4,32.0
-88.93,29.55,92.3,23.0
-88.47,28.03,85.0,24.8
-85.83,27.15,62.5,34.3
-86.05,28.55,68.4,18.9
-87.69,29.34,85.9,34.4
-87.87,28.48,86.2,33.9
-89.71,29.68,63.8,35.6
-89.2,27.37,90.0,33.0
-88.67,27.63,100.9,32.6
-87.89,29.28,64.2,22.7
-86.96,29.07,69.0,20.7
-87.82,28.68,83.0,34.1
-88.94,28.4,83.3,24.5
-87.64,28.63,75.6,22.4
-88.02,27.85,85.3,33.5
-88.82,29.5,38.1,36.8
-90.21,27.62,71.4,20.4
-86.05,27.78,65.9,21.9
-88.55,30.01,111.1,33.5
-87.01,30.43,82.3,35.2
-87.31,29.16,74.7,18.5
-88.18,27.77,80.7,33.7
-86.36,27.8,79.3,33.8
-87.98,29.71,70.8,17.8
-89.95,28.06,57.5,21.5
-88.32,28.32,74.1,19.9
-89.36,27.69,90.2,33.2
-87.19,29.84,14.8,38.1
-88.12,27.61,81.0,22.6
-86.03,29.47,56.0,19.0
-85.47,26.37,62.8,33.8
-87.79,27.54,51.7,15.4
-87.71,27.78,76.8,19.4
-89.79,28.22,74.1,19.6
-90.13,29.66,40.5,36.8
-88.41,29.17,85.3,24.2
-86.62,30.57,37.4,37.5
-88.46,28.24,76.1,19.9
-87.96,30.35,85.3,35.0
-87.46,28.56,60.3,21.3
-88.56,27.15,45.7,10.7
-85.81,26.02,118.5,30.9
-89.7,29.85,72.9,18.6
-87.23,28.25,67.6,18.7
-89.63,29.92,67.2,20.7
-88.2,29.63,54.3,19.4
-86.59,27.75,105.6,32.5
-87.11,29.3,74.2,21.2
-87.72,30.03,49.8,16.1
-88.82,28.7,60.9,21.0
-88.4,28.79,88.5,21.0
-88.01,28.76,89.4,33.9
-87.69,27.69,103.3,32.6
-88.81,28.82,78.2,19.0
-85.04,26.05,72.8,19.2
-89.35,28.54,69.7,19.5
-88.23,30.27,103.4,34.0
-88.7,28.77,66.8,21.1
-87.52,27.99,59.7,25.2
-86.94,29.11,77.4,25.8
-86.35,27.03,58.5,20.0
-89.88,28.17,64.6,23.2
-86.13,29.92,60.0,23.7
-88.16,28.89,63.1,22.6
-89.25,27.97,71.2,19.5
-87.27,30.09,68.7,21.5
-86.83,29.04,64.6,19.4
-87.64,29.66,84.5,34.6
-89.03,28.41,45.2,13.8
-86.64,28.39,68.5,21.2
-86.11,28.73,69.3,19.0
-89.96,30.75,17.4,38.5
-87.02,29.58,56.5,19.7
-87.03,28.67,63.1,25.1
-86.54,28.67,45.9,17.9
-85.8,29.13,43.2,22.6
-85.78,26.73,76.5,20.3
-89.15,30.26,62.5,36.0
-85.96,28.34,92.3,33.5
-86.83,28.34,64.6,20.8
-88.88,29.78,88.5,25.6
-86.57,30.74,69.4,20.4
-86.35,29.7,68.0,20.0
-88.67,26.71,58.0,21.8
-88.76,28.36,91.0,33.6
-89.28,28.74,63.6,23.1
-89.73,26.94,46.7,18.9
